Row,Module,Week,Hbool,Header,Date,Task or Topic,Hyperlink
,,,,,,,
1,1,0,Header,MODULE 1: MOTIVATION AND GETTING STARTED,,,
2,1,0,Header,install all programs ,,,
3,1,0,Header,basics of Python (Jupyter Lab) and GitHub,,,
4,1,0,Header,debugging (YUCK) and the process of coding,,,
5,1,0,Header,project management and programming golden rules,,,
6,1,0,Header,,,,
7,1,0,Extra-Header,-1 Assignment,,,
8,1,0,Extra-Header,,,,
10,1,1,Lecture,,,,
11,1,1,Tasks,,,,
12,1,1,Tasks,,1/22/2024,Create GitHub account,https://github.com/join
13,1,1,Tasks,,1/22/2024,Fill out this survey,https://forms.gle/1MGR59eq8V4UYACKA
14,1,1,Tasks,,1/22/2024,Click on the link in coursesite to join the class's GitHub organization,https://coursesite.lehigh.edu/course/view.php?id=310123
14.1,1,1,Tasks,,1/23/2024,"Once I accept you into the organization, go to the GitHub discussion board,find the link to start the first assignment and click it!",https://github.com/LeDataSciFi/ledatascifi-2024/discussions
14.2,1,1,,,,,
14.3,1,1,,,,,
15,1,1,Lecture,,1/22/2024,"Motivation and startup, GitHub basics",
16,1,1,Tasks,,,,
17,1,1,Tasks,,1/24/2024,Finish all the set up tasks (1.2),https://ledatascifi.github.io/ledatascifi-2024/content/01/02_Setup.html
17.1,1,1,Tasks,,1/24/2024,Read the syllabus section on the site,
17.2,1,1,Tasks,,1/24/2024,Complete the GitHub Exercises,https://github.com/LeDataSciFi/ledatascifi-2024/blob/main/handouts/GitHub exercises.ipynb
19,1,1,Tasks,,1/24/2024,Invite Brooks (@brookswalsh) and me (@donbowen) to your Class Notes repo,
19.1,1,1,Lecture,,1/24/2024,Using JupyterLab,
22,1,1,,,,,
23,1,1,,,,,
24,1,2,Lecture,,,,
25,1,2,Tasks,,,,
26,1,2,Faculty,,1/29/2024,ASGN 1 Posted,
26.5,1,2,Tasks,,1/29/2024,"Read ""How to do assignments""",https://ledatascifi.github.io/ledatascifi-2024/content/assignments/howto_do.html
27,1,2,Tasks,,1/29/2024,Reading: 1.1-1.8,
27.1,1,2,Tasks,,1/29/2024,Finish the Jupyterlab exercises,https://github.com/LeDataSciFi/ledatascifi-2024/blob/main/handouts/Jupyterlab exercises.ipynb
29,1,2,Lecture,,1/29/2024,Python Basics ,
30,1,2,Tasks,,,,
31,1,2,Tasks,,1/31/2024,(Optional) Do Chapter 2 (basic syntax) to 14 (modules) of Whirlwind of Python.,https://nbviewer.jupyter.org/github/jakevdp/WhirlwindTourOfPython/blob/master/02-Basic-Python-Syntax.ipynb
31.5,1,2,Tasks,,1/31/2024,Reading: 2.1-2.8,
32,1,2,Lecture,,1/31/2024,More Python and best practices,
